Address,FULL_NAME,Beat,Latitude,Longitude
3300 BAYVIEW AVE,Fire Station 111,111,43.79013,-79.39366
5700 BATHURST ST,Fire Station 112,112,43.77629,-79.44428
700 SENECA HILL DR,Fire Station 113,113,43.79319,-79.35084
12 CANTERBURY PL,Fire Station 114,114,43.77264,-79.41536
115 PARKWAY FOREST DR,Fire Station 115,115,43.77441,-79.34069
255 ESTHER SHINER BLVD,Fire Station 116,116,43.76915,-79.36507
10 WILLIAM CARSON CRES,Fire Station 121,121,43.74855,-79.40678
2545 BAYVIEW AVE,Fire Station 122,122,43.74865,-79.38373
143 BOND AVE,Fire Station 123,123,43.74582,-79.34673
1109 LESLIE ST,Fire Station 125,125,43.72115,-79.34911
3135 YONGE ST,Fire Station 131,131,43.72623,-79.40216
476 LAWRENCE AVE W,Fire Station 132,132,43.71981,-79.42857
1505 LAWRENCE AVE W,Fire Station 133,133,43.7072,-79.48219
16 MONTGOMERY AVE,Fire Station 134,134,43.70967,-79.39977
641 EGLINTON AVE W,Fire Station 135,135,43.70276,-79.41637
4100 KEELE ST,Fire Station 141,141,43.76683,-79.49273
2753 JANE ST,Fire Station 142,142,43.74599,-79.51437
1009 SHEPPARD AVE W,Fire Station 143,143,43.75066,-79.45973
20 BEFFORT RD,Fire Station 145,145,43.73476,-79.46004
2220 JANE ST,Fire Station 146,146,43.72358,-79.50978
900 TAPSCOTT RD,Fire Station 211,211,43.824,-79.24287
8500 SHEPPARD AVE E,Fire Station 212,212,43.80494,-79.18862
7 LAPSLEY RD,Fire Station 213,213,43.79541,-79.22597
745 MEADOWVALE RD,Fire Station 214,214,43.79422,-79.16360
5318 LAWRENCE AVE E,Fire Station 215,215,43.7774,-79.14807
2575 EGLINTON AVE E,Fire Station 221,221,43.7348,-79.25507
755 WARDEN AVE,Fire Station 222,222,43.72041,-79.28410
116 DORSET RD,Fire Station 223,223,43.72396,-79.23326
1313 WOODBINE AVE,Fire Station 224,224,43.69519,-79.31660
3600 DANFORTH AVE,Fire Station 225,225,43.69593,-79.26850
87 MAIN ST,Fire Station 226,226,43.68193,-79.29907
1904 QUEEN ST E,Fire Station 227,227,43.66917,-79.30504
740 MARKHAM RD,Fire Station 231,231,43.76465,-79.22779
1550 MIDLAND AVE,Fire Station 232,232,43.75497,-79.26685
59 CURLEW DR,Fire Station 233,233,43.74411,-79.31452
40 CORONATION DR,Fire Station 234,234,43.76108,-79.19153
200 BERMONDSEY RD,Fire Station 235,235,43.72425,-79.31493
3325 WARDEN AVE,Fire Station 241,241,43.81405,-79.32381
2733 BRIMLEY RD,Fire Station 242,242,43.80693,-79.27726
4560 SHEPPARD AVE E,Fire Station 243,243,43.78915,-79.26296
2340 BIRCHMOUNT RD,Fire Station 244,244,43.78169,-79.29912
1600 BIRCHMOUNT RD,Fire Station 245,245,43.7627,-79.29152
20 BALMORAL AVE,Fire Station 311,311,43.68596,-79.39398
34 YORKVILLE AVE,Fire Station 312,312,43.67188,-79.38892
441 BLOOR ST E,Fire Station 313,313,43.6721,-79.37556
12 GROSVENOR ST,Fire Station 314,314,43.66307,-79.38467
132 BELLEVUE AVE,Fire Station 315,315,43.65683,-79.40479
231 MCRAE DR,Fire Station 321,321,43.70872,-79.36485
256 COSBURN AVE,Fire Station 322,322,43.69099,-79.34235
153 CHATHAM AVE,Fire Station 323,323,43.67955,-79.33466
840 GERRARD ST E,Fire Station 324,324,43.66777,-79.34352
475 DUNDAS ST E,Fire Station 325,325,43.65938,-79.36486
30 KNOX AVE,Fire Station 326,326,43.66155,-79.32501
33 CLAREMONT ST,Fire Station 331,331,43.64735,-79.40977
260 ADELAIDE ST W,Fire Station 332,332,43.64832,-79.38956
207 FRONT ST E,Fire Station 333,333,43.65053,-79.36616
339 QUEENS QUAY W,Fire Station 334,334,43.6377,-79.38862
235 CIBOLA AVE,Fire Station 335,335,43.62541,-79.35908
555 OAKWOOD AVE,Fire Station 341,341,43.69453,-79.44115
106 ASCOT AVE,Fire Station 342,342,43.67937,-79.44863
65 HENDRICK AVE,Fire Station 343,343,43.68011,-79.43076
240 HOWLAND AVE,Fire Station 344,344,43.67297,-79.41183
1285 DUFFERIN ST,Fire Station 345,345,43.66741,-79.43816
90 QUEBEC ST,Fire Station 346,346 - Seasonal,43.63368,-79.42133
75 TORYORK DR,Fire Station 411,411,43.75526,-79.54916
267 HUMBERLINE DR,Fire Station 412,412,43.73812,-79.61764
1549 ALBION RD,Fire Station 413,413,43.74023,-79.58691
2120 KIPLING AVE,Fire Station 415,415,43.71788,-79.57038
6 LAMBTON AVE,Fire Station 421,421,43.68431,-79.48531
590 JANE ST,Fire Station 422,422,43.66441,-79.49094
358 KEELE ST,Fire Station 423,423,43.66475,-79.46476
83 DEFOREST RD,Fire Station 425,425,43.64799,-79.47807
140 LANSDOWNE AVE,Fire Station 426,426,43.6451,-79.43887
308 PRINCE EDWARD DR S,Fire Station 431,431,43.64645,-79.50485
155 THE EAST MALL,Fire Station 432,432,43.62335,-79.54935
615 ROYAL YORK RD,Fire Station 433,433,43.62803,-79.50294
3 LUNNESS RD,Fire Station 434,434,43.60258,-79.54399
130 EIGHTH ST,Fire Station 435,435,43.60113,-79.50697
947 MARTIN GROVE RD,Fire Station 441,441,43.69497,-79.57192
2015 LAWRENCE AVE W,Fire Station 442,442,43.7006,-79.51238
1724 ISLINGTON AVE,Fire Station 443,443,43.67808,-79.53856
666 RENFORTH DR,Fire Station 444,444,43.65747,-79.58270
280 BURNHAMTHORPE RD,Fire Station 445,445,43.64936,-79.54510
